pid,location,activity,start_time,end_time,duration_sec,actual_concentration,expected_concentration,perceived_distraction,purpose_of_using_smartphone
p2,강의실,수업,1557195170024 ,1557195346755 ,177,4,5,5,휴식
p2,강의실,수업,1557198143638 ,1557198876813 ,733,2,4,3,시간확인
p25,강의실,아무것도 안함,1557199885361 ,1557199970443 ,85,3,3,3,
p2,강의실,수업,1557199134454 ,1557199973792 ,838,2,4,3,휴시 휴식
p7,강의실,수업,1557199748808 ,1557200105196 ,356,4,4,3,
p24,강의실,수업,1557199733789 ,1557200142910 ,409,4,4,5,
p18,강의실,수업,1557199980025 ,1557200146244 ,165,4,4,3,실험 확인
p13,강의실,OT,1557199733973 ,1557200163135 ,429,5,4,4,설문을 위해서
p1,강의실,수업,1557199740114 ,1557200173767 ,434,3,3,3,실험
p16,강의실,수업,1557200340067 ,1557200415277 ,75,3,3,3,오티 중 어플리케이션 작동 확인
p2,강의실,수업,1557200387770 ,1557201197743 ,809,1,4,3,시간확인
p22,강의실,OT,1557201457277 ,1557201553094 ,197,3,3,4,설문이 뜨는지 확인하기 위함
p17,인후 식당,친구와 오프라인 대화,1557201905201 ,1557202070757 ,166,3,3,4,무심코 핸드폰에 손이 갔다
p32,강의실,공부,1557202404183 ,1557202489466 ,85,1,1,1,테스트
p24,정석,근로,1557202559146 ,1557202579335 ,107,4,4,3,시간을 보기 위해
p13,동아리방,공부,1557202699094 ,1557202752233 ,53,4,3,3,강의자료열람
p17,인후 식당,식사,1557202311320 ,1557203025199 ,714,4,4,4,수학 시험 점수 확인
p2,도서관,공부,1557202327900 ,1557203512538 ,1185,4,4,3,시간확인
p3,강의실,수업,1557203736725 ,1557203939996 ,203,3,5,5,시간을 확인하기 위해서
p17,정석 도서관,친구와 오프라인 대화,1557204169096 ,1557204243487 ,75,4,4,4,무슨 소식이 왔나 보려고
p18,강의실,수업,1557203927855 ,1557204243316 ,315,4,4,4,시간 확인
p24,정석,공부,1557204196098 ,1557204529974 ,334,4,5,5,
p18,강의실,수업,1557204460217 ,1557204645548 ,186,4,4,4,그냥 켜짐...
p7,대중교통,수면,1557204400875 ,1557204669028 ,268,3,3,3,
p3,강의실,수업,1557204160610 ,1557204702025 ,541,4,5,5,인하대학교 알림이 떠서 확인 용도로
p25,강의실,수업,1557202515847 ,1557205012149 ,2495,3,5,4,메신저 확인
p16,강의실,수업,1557203591113 ,1557205016039 ,1425,3,5,4,시간확인
p32,도서관,좌석이동,1557204994078 ,1557205074821 ,80,4,3,1,시간 확인할려고...
p7,대중교통,수면,1557205397804 ,1557205411257 ,69,3,3,3,
p13,동아리방,공부,1557205224057 ,1557205453517 ,230,4,4,4,검색
p32,도서관,공부,1557205737818 ,1557205792559 ,54,4,4,4,저절로 켜짐 ..
p24,정석,공부,1557204776111 ,1557206054595 ,1278,4,4,4,번역기를 사용하기 위해
p2,도서관,공부,1557206185185 ,1557206577307 ,392,3,3,3,휴식
p31,강의실,수업,1557206512041 ,1557206627701 ,115,3,3,3,확인
p33,강의실,오리엔테이션,1557206521083 ,1557206690185 ,169,4,4,4,앱 설치 및 사용방법 확인
p22,집,식사,1557205885291 ,1557206720377 ,835,2,1,2,카톡
p17,정석 도서관,수면,1557204901016 ,1557206822072 ,1921,2,3,4,소식이 궁금해서
p25,강의실,수업,1557205812199 ,1557206914021 ,1102,4,5,4,알람떠서 확인
p8,ETC,ETC,1557206797112 ,1557206973277 ,176,5,5,3,오티
p3,강의실,수업,1557206852336 ,1557207001215 ,149,3,5,4,SNS 사용을 위해서
p2,도서관,공부,1557206838171 ,1557207265132 ,427,3,3,3,시간확인
p25,강의실,수업,1557207130802 ,1557207814616 ,684,3,5,4,습관적으로 켬
p10,도서관,독서,1557207590707 ,1557207850213 ,259,4,5,2,앱 작동여부 확인
p18,강의실,수업,1557204835585 ,1557207913738 ,3078,4,3,3,수업 종료
p17,정석 도서관,수면,1557207064012 ,1557207963072 ,899,3,4,4,시간 확인
p14,연구실,이동,1557208302638 ,1557208364539 ,44,3,3,2,카톡
p32,도서관,공부,1557206277184 ,1557208377322 ,2100,4,4,4,문자를 확인하기위해서
p21,연구실,휴식,1557208899168 ,1557208941291 ,441,4,3,3,카톡 확인
p6,기숙사,공부,1557208859036 ,1557209127517 ,269,4,5,4,실험 테스트
p3,학교식당,식사,1557209465394 ,1557209518373 ,115,4,5,2,심심해서
p2,강의실,수업,1557209589173 ,1557209685609 ,96,3,3,3,카톡확인
p24,강의실,수업,1557210279103 ,1557210373285 ,94,4,4,4,
p10,강의실,수업,1557210165753 ,1557210394479 ,228,3,5,3,수업중에 연락을 확인 하기 위해
p21,연구실,연구,1557210393536 ,1557210405993 ,193,4,5,4,연구
p30,기숙사,수면,1557208692375 ,1557210455276 ,1763,5,4,4,시간 확인
p6,기숙사,공부,1557209343066 ,1557210553919 ,1210,4,5,4,공부하는 중에 알람을 맞추기 위해서
p13,동아리방,공부,1557210394963 ,1557210566946 ,172,4,4,4,검색
p14,연구실,실험,1557209706962 ,1557210674305 ,967,5,5,2,sns
p2,강의실,수업,1557209877986 ,1557210707081 ,829,4,4,3,확인목적
p31,기숙사,유튜브,1557209658074 ,1557210863287 ,1205,4,4,2,카톡확인
p8,헬스장,헬스,1557210972062 ,1557211020171 ,48,5,5,3,휴식
p24,강의실,수업,1557210676408 ,1557211037342 ,361,4,4,4,
p18,자취방,공부,1557210632509 ,1557211082350 ,449,4,4,4,카톡알림
p15,기숙사,글쓰기,1557210498865 ,1557211212864 ,714,3,3,3,글쓰는 중에 카톡을 확인하려고
p8,헬스장,헬스,1557211368696 ,1557211388162 ,87,5,5,2,카톡
p18,자취방,공부,1557211354140 ,1557211407150 ,53,5,5,5,카톡알람울려서 그냥 설문조사알람이 뜸
p13,동아리방,수면,1557210919244 ,1557211764131 ,845,5,5,5,
p14,연구실,실험,1557212157435 ,1557212212479 ,462,4,5,1,카톡
p2,강의실,수업,1557212103039 ,1557212216516 ,113,3,3,3,
p32,도서관,공부,1557212001630 ,1557212324125 ,322,4,4,4,sns 구경을 위해서
p10,강의실,수업,1557210589826 ,1557212461672 ,1872,3,4,1,수업중 휴대폰 충전
p18,자취방,공부,1557211652601 ,1557212595272 ,942,5,4,4,과제 하나 끝내고 시간 체크
p3,정석,수업,1557211570117 ,1557212605931 ,1036,3,5,5,쉬는 중에 메시지 확인을 위하여
p8,헬스장,헬스,1557212396429 ,1557212650253 ,253,5,5,1,휴식
p24,강의실,수업,1557211790677 ,1557212650082 ,859,4,4,4,
p17,강의실,수업,1557212780030 ,1557212868962 ,89,4,4,4,친구가 보낸 수업자료를 확인하려고
p2,강의실,수업,1557212510871 ,1557212924074 ,413,3,3,3,
p13,동아리방,공부,1557212579134 ,1557212950822 ,372,4,4,4,검색
p18,자취방,공부,1557212962499 ,1557213021217 ,58,4,4,3,전화
p16,연구실,실험,1557212742214 ,1557213027100 ,285,4,4,3,시간 확인
p6,기숙사,수면,1557211419689 ,1557213068557 ,1648,3,3,3,잠시 수면을 취하는 중에 알람 끄려고
p14,연구실,실험,1557212657713 ,1557213172673 ,515,5,5,1,사진 보려고
p22,집,게임,1557208696685 ,1557213180394 ,4483,4,4,3,목적없음
p16,연구실,휴식,1557213400709 ,1557213432756 ,48,1,1,1,휴식중 핸드폰 사용
p32,도서관,좌석이동,1557213356161 ,1557213475018 ,119,3,2,1,정석어플이용
p17,정석 도서관,친구와 오프라인 대화,1557213411140 ,1557213508021 ,97,2,4,4,습관적인 알림 확인
p3,강의실,수업,1557213999237 ,1557214140540 ,142,3,4,3,수업 시작 전 sns 확인을 위해서
p30,기숙사,수면,1557214282165 ,1557214305862 ,3581,5,5,4,기상
p2,강의실,수업,1557213207900 ,1557214306811 ,1099,3,3,3,
p10,도서관,독서,1557215091127 ,1557215151218 ,60,3,5,4,부재중연락 확인
p33,오디토리움,공연,1557214458111 ,1557215163470 ,705,5,5,5,공연 연습 중 시간 확인
p3,강의실,수업,1557215123069 ,1557215184917 ,61,3,1,5,습관적인 확인
p2,강의실,수업,1557214523065 ,1557215198923 ,676,3,3,3,
p14,연구실,실험,1557213912559 ,1557215233324 ,1320,5,5,2,카톡
p30,기숙사,컴퓨터,1557215458316 ,1557215554665 ,96,5,3,1,폰 확인
p17,정석 도서관,공부,1557214850813 ,1557215624700 ,774,4,4,4,카톡 확인
p29,도서관,공부,1557215315629 ,1557215949829 ,634,5,5,4,일정 확인
p14,연구실,논문 읽기,1557216122597 ,1557216145694 ,648,2,4,4,sns
p24,정석,공부,1557215684319 ,1557216385679 ,702,4,4,4,시계
p10,도서관,독서,1557215411254 ,1557216429928 ,1019,4,5,3,책 반납을 위해 이동
p8,기숙사,빨래 널기,1557216285932 ,1557216602385 ,316,5,5,2,심심해서
p2,강의실,수업,1557215454875 ,1557216747631 ,1293,3,3,3,
p6,기숙사,공부,1557216736871 ,1557216903892 ,167,3,4,3,공부하는 중에 쇼핑
p3,강의실,수업,1557216021040 ,1557216106308 ,85,3,5,5,sns 확인 목적
p29,도서관,공부,1557217077548 ,1557217096643 ,901,4,4,4,sns
p8,기숙사,식사,1557216818245 ,1557217347766 ,530,5,5,1,심심해서
p2,도서관,공부,1557217007152 ,1557217869703 ,862,4,4,4,
p4,강의실,수업,1557217629766 ,1557217925182 ,295,3,3,3,앱을설치하기위해서
p26,강의실,수업,1557217567083 ,1557217944250 ,377,3,3,3,설문조사
p23,강의실,수업,1557217538144 ,1557217957052 ,419,3,4,5,오리엔테이션에서 테스트 확인
p11,강의실,ot,1557217532770 ,1557217957795 ,424,5,5,1,오티
p27,강의실,세미나,1557217873063 ,1557217963296 ,90,3,2,2,실험 테스트
p9,강의실,OT,1557217545304 ,1557217994638 ,449,4,4,5,설문조사를 해달라고 부탁하셔서
p12,강의실,오티,1557217550265 ,1557217998081 ,448,4,4,4,설문조사 화면이 뜨는지 확인하려고
p1,학교식당,식사,1557217583044 ,1557218069895 ,486,5,5,2,시간확인
p32,강의실,공부,1557218045706 ,1557218103362 ,57,3,3,3,ㅏ카카오톡확인
p24,정석,공부,1557217686103 ,1557218112984 ,426,4,4,4,게임을 하기 위해
p3,강의실,수업,1557217816592 ,1557218149258 ,332,2,5,5,수업 이후 일과를 체크하기 위해서
p7,길거리,구경,1557218368775 ,1557218421449 ,51,3,3,2,
p18,자취방,공부,1557218113510 ,1557218447769 ,334,4,4,2,핸드폰 확인
p29,도서관,공부,1557217293488 ,1557218465997 ,1172,5,5,4,카메라 사용.
p13,식당,식사,1557218319034 ,1557218525273 ,206,4,4,2,메시지확인
p25,기숙사,수면,1557211386789 ,1557219014134 ,7627,4,5,5,알람확인
p18,자취방,휴식,1557218919676 ,1557219022696 ,103,2,2,2,알람 울림
p29,도서관,공부,1557218701412 ,1557219025288 ,324,5,5,5,학업용도 사진 촬영
p2,도서관,공부,1557218778906 ,1557219147011 ,368,3,3,3,
p18,자취방,휴식,1557219299498 ,1557219377988 ,78,3,2,3,
p5,강의실,수업,1557219476855 ,1557219590451 ,113,3,4,5,하텍 1216에서 ♡ot진행
p26,강의실,수업,1557220102085 ,1557220123832 ,29,3,3,3,회의중
p9,학교,걷기,1557220062599 ,1557220140486 ,77,3,2,2,전화와서 ㅠㅠ
p22,집,게임,1557220082453 ,1557220150922 ,224,4,4,3,전화받기
p12,자취방,집청소,1557220060499 ,1557220207634 ,146,3,2,1,카톡이 와서 확인하려고
p3,자취방,여가활동,1557220129330 ,1557220267473 ,138,5,5,1,인터넷 검색을 위해서
p31,기숙사,유튜브,1557218299041 ,1557220290824 ,1992,4,4,2,카톡
p8,기숙사,샤워,1557219910028 ,1557220496210 ,586,5,5,3,카톡
p32,강의실,공부,1557220468633 ,1557220534996 ,1776,3,3,3,스케쥴 체크
p21,연구실,연구,1557215153246 ,1557220565431 ,5412,5,4,4,연구중에 카톡하기 위해서
p13,강의실,공부,1557220709079 ,1557220852778 ,144,4,4,4,일정확인
p1,후문,식사,1557220525211 ,1557220872900 ,348,4,4,4,시계
p9,동아리방,수다,1557220836438 ,1557220911443 ,1,4,1,1,시계확인
p8,기숙사,컴퓨터,1557220699939 ,1557220978439 ,278,5,5,4,유튜브
p4,강의실,수업,1557220972951 ,1557221109608 ,137,3,3,2,인터넷
p3,자취방,여가활동,1557221076356 ,1557221196456 ,120,5,5,1,SNS 이용
p12,자취방,집청소,1557220425248 ,1557221395024 ,970,3,2,1,노래 틀으려고
p14,학교식당,이동,1557221188560 ,1557221400702 ,212,3,1,1,sns
p30,알바,일,1557221451858 ,1557221465796 ,1272,5,5,5,휴식
p12,자취방,집청소,1557221637150 ,1557221715058 ,78,3,2,1,알람울려서 자동으로 켜졌다
p14,학교식당,식사,1557221658614 ,1557222004223 ,345,3,1,2,시간확인
p1,후문,기타,1557222145139 ,1557222212016 ,66,3,3,3,카톡
p18,강의실,동아리활동,1557222000506 ,1557222300734 ,300,5,5,4,
p13,강의실,공부,1557221055691 ,1557222435420 ,1379,4,1,4,
p12,자취방,식사,1557221975885 ,1557222590822 ,615,2,1,1,카톡 확인
p16,연구실,휴식,1557222579772 ,1557222591775 ,27,1,1,1,시간확인
p21,연구실,연구,1557222489452 ,1557222603261 ,226,4,4,2,실험중 카톡하기위해
p8,기숙사,컴퓨터,1557221219423 ,1557222722824 ,1503,5,5,3,유선 충전 확인
p10,기타,기타,1557222905396 ,1557223015090 ,801,4,5,2,노래방에서 노래하는 중에 연락확인을 위해
p14,학교식당,식사,1557222304932 ,1557223070364 ,765,3,1,2,그냥 울렸음
p23,강의실,수업,1557223135550 ,1557223165265 ,0,3,4,4,친구와의 연락
p16,연구실,실험,1557223011120 ,1557223202636 ,217,4,4,4,수신 전화 응답
p17,지하철,친구와 오프라인 대화,1557223140804 ,1557223243456 ,97,4,4,4,궁금한 것을 검색하기 위해
p3,자취방,여가활동,1557223283216 ,1557223336217 ,0,5,5,1,통화 목적
p10,기타,기타,1557223220384 ,1557223350105 ,130,5,4,1,노래방에서 순서 기다리는 동안 습관적으로
p14,학교식당,식사,1557223332600 ,1557223650377 ,317,3,2,2,시계
p17,정석 도서관,공부,1557218546532 ,1557218804280 ,257,4,4,4,카톡 확인
p30,알바,일,1557223852071 ,1557223875937 ,153,5,5,5,휴식
p25,강의실,조모임,1557223874011 ,1557223951248 ,77,4,5,3,메시지 확인
p6,강의실,수업,1557224125451 ,1557224150051 ,2186,4,3,4,수업중인데 알람이 울렷어요
p11,집,식사,1557223961887 ,1557224194043 ,232,3,3,3,밥먹는중 카톡확인
p10,기타,기타,1557223940895 ,1557224195345 ,254,5,5,1,노래방에서 노래 부르는 중에 연락 확인을 위해
p23,강의실,수업,1557224121486 ,1557224481390 ,359,3,3,3,친구와연락
p14,연구실,실험,1557224448526 ,1557224623316 ,174,5,5,1,실험 사진
p32,도서관,공부,1557224709878 ,1557224748501 ,1161,3,3,3,사진파일을 보기위해서
p30,알바,일,1557224531366 ,1557224799462 ,268,5,5,4,휴식
p26,강의실,회의,1557224521077 ,1557224861640 ,340,3,3,3,정보찾기
p10,기타,기타,1557224853380 ,1557224966344 ,113,5,5,1,노래방에서 노래 부르는 중에 연락확인하느라
p8,기숙사,컴퓨터,1557224907054 ,1557225049406 ,142,5,1,1,문지 셔틀 시간표보려고
p11,집,식사,1557224880221 ,1557225051129 ,171,3,3,5,벨소리 설정
p27,학교식당,식사,1557223439251 ,1557225170898 ,1732,3,1,2,시간확인
p32,도서관,공부,1557225359208 ,1557225386673 ,221,3,3,3,무의식적 핸드폰킴
p31,기숙사,수면,1557224262632 ,1557225504804 ,1242,4,4,3,ㅅ톡
p4,강의실,수업,1557225283764 ,1557225519334 ,235,3,4,1,카카어톡
p14,연구실,실험,1557224940494 ,1557225583527 ,643,5,5,2,카톡
p27,ETC,일,1557225839637 ,1557226116023 ,276,3,3,2,메신저확인
p14,기숙사,청소,1557226035420 ,1557226143896 ,109,5,2,1,유튜브
p2,도서관,공부,1557225074332 ,1557226263906 ,1190,3,3,3,
p22,집,게임,1557226157599 ,1557226286144 ,5814,3,3,2,휴식
p33,오디토리움,공연,1557226226049 ,1557226353386 ,127,5,5,4,스태프 연락 확인
p25,강의실,조모임,1557226328048 ,1557226358913 ,31,4,4,4,자료 탐색
p6,강의실,수업,1557224348402 ,1557226438906 ,2091,5,4,4,수업 중 쉬는 시간이라 카톡 확인
p23,강의실,수업,1557226897082 ,1557226914799 ,2135,3,3,3,알림이떠서
p2,도서관,공부,1557227191377 ,1557227343597 ,153,3,3,3,
p18,식당,식사,1557227518965 ,1557227562100 ,118,4,3,3,
p8,기숙사,컴퓨터,1557225275436 ,1557227627741 ,2353,5,3,3,시간 체크
p3,학교식당,식사,1557227652505 ,1557227681383 ,308,5,5,1,식사
p30,알바,일,1557227836276 ,1557227858245 ,45,5,5,4,일이 마쳐서
p26,동아리방,밴드합주,1557227674078 ,1557227923681 ,250,3,3,3,자료검색
p8,기숙사,컴퓨터,1557227815477 ,1557227963209 ,147,5,5,1,시간 확인
p1,후문,기타,1557227975367 ,1557228065383 ,90,3,3,3,카톡
p4,자취방,식사,1557228017769 ,1557228069525 ,428,3,4,4,인터넷
p3,학교식당,식사,1557228273126 ,1557228302614 ,318,5,5,1,
p26,동아리방,밴드합주,1557228151463 ,1557228628879 ,477,4,4,4,여친카톡
p28,강의실,수업,1557228620031 ,1557228671755 ,51,3,4,3,
p25,강의실,조모임,1557228684286 ,1557228749450 ,65,4,4,4,검색
p8,기숙사,컴퓨터,1557228796427 ,1557228832374 ,36,1,1,1,시간체크
p25,기숙사,조모임,1557228971966 ,1557229139706 ,168,4,4,4,
p14,기숙사,수면,1557228988708 ,1557229183512 ,194,5,1,2,시계
p18,식당,식사,1557227785502 ,1557229186699 ,1401,4,3,2,
p24,집,식사,1557226385375 ,1557229379623 ,2994,4,4,2,
p29,기숙사,수면,1557229368426 ,1557229524155 ,827,3,3,3,
p22,집,기타,1557229559345 ,1557229628580 ,1511,3,2,2,전화받기
p2,도서관,컴퓨터작업,1557229585671 ,1557229723327 ,137,5,3,3,
p18,식당,식사,1557229440500 ,1557229802853 ,362,4,4,3,
p4,도서관,공부,1557229633628 ,1557230041433 ,407,3,3,3,인터넷
p16,헬스장,헬스,1557229092061 ,1557230209726 ,1118,4,4,3,운동중 쉬는시간
p29,도서관,공부,1557229951444 ,1557230273529 ,322,4,4,4,아무생각없이
p2,도서관,컴퓨터작업,1557229977428 ,1557230353184 ,376,4,4,3,시간확인및휴식
p29,도서관,공부,1557230489726 ,1557230499439 ,9,4,4,4,검색
p11,집,과제,1557230447036 ,1557230505277 ,2821,5,5,5,과제하던 중 시간 확인위해서
p3,자취방,여가활동,1557230070330 ,1557230798820 ,729,5,5,1,
p9,도서관,수업,1557230680807 ,1557230816506 ,136,4,5,5,사용안하려고했는데 카톡알림이떠서 어쩡수없이 설문참여를했다
p16,헬스장,헬스,1557230445320 ,1557231118204 ,673,5,5,3,휴식중 인터넷 서핑
p3,자취방,수면,1557231000177 ,1557231222787 ,222,3,5,3,
p6,기숙사,휴식,1557231240204 ,1557231342528 ,103,3,4,2,휴식 중 카톡 알람이 왔다
p29,도서관,공부,1557230745433 ,1557231511051 ,766,4,4,4,사진촬영
p21,연구실,휴식,1557230439005 ,1557231579255 ,1140,4,2,2,휴식중에 카톡하기 위하여
p11,집,공부,1557231596018 ,1557231647643 ,243,3,3,1,
p23,강의실,수업,1557231640058 ,1557231653411 ,0,3,3,3,쉬는시간
p31,피시방,피시카톡접속,1557230775597 ,1557231664097 ,888,3,3,3,ㅍ시카톡접속
p34,기숙사,휴식,1557231461141 ,1557231759740 ,298,5,5,3,카카오톡 확인
p9,도서관,수업,1557231766192 ,1557231786776 ,750,5,5,5,시계
p29,도서관,공부,1557231715532 ,1557231838509 ,122,4,4,4,사진
p16,헬스장,헬스,1557231434688 ,1557232032501 ,597,5,5,3,운동중 휴식간 인터넷 서핑
p12,자취방,과제,1557231183395 ,1557232057932 ,875,4,4,4,과제 관련 자료 검색
p1,후문,기타,1557232047096 ,1557232307302 ,260,3,3,2,연락
p16,헬스장,헬스,1557232430377 ,1557232472529 ,42,5,5,3,인터넷 서핑
p1,후문,기타,1557232668438 ,1557232767237 ,99,4,4,3,시간
p30,동아리,동아리 활동,1557230812081 ,1557232840577 ,2028,5,5,3,쉬는시간 이라서
p14,연구실,실험,1557229775078 ,1557232920152 ,3145,5,5,1,검색
p9,도서관,수업,1557231972927 ,1557232985501 ,1013,5,5,5,시계
p25,노래방,여가활동,1557232551997 ,1557233093730 ,542,4,3,1,사진 촬영
p7,대중교통,수면,1557232083941 ,1557232872703 ,788,4,3,3,
p3,학교식당,식사,1557233138419 ,1557233162662 ,49,5,5,1,
p5,술집,음주,1557233164331 ,1557233268183 ,104,3,2,4,술마시는중에 알림확인
p28,문화관,공부,1557231740190 ,1557232838380 ,1098,3,5,5,
p29,야외,사교활동,1557232860094 ,1557233458232 ,598,4,4,2,sns
p31,피시방,게임,1557233253039 ,1557233644150 ,391,4,4,4,여친카톡
p20,연구실,잡일,1557232734118 ,1557233698823 ,965,5,5,5,퇴근 전에 가족에게 연락을 하기 위해서
p6,기숙사,휴식,1557233599566 ,1557233746100 ,146,3,3,4,휴식 중 카톡 알람을 확인하기 위하여
p11,집,과제,1557233677652 ,1557233756407 ,78,3,3,3,노래틀기위해서
p5,술집,음주,1557233801862 ,1557233837079 ,35,3,3,2,술집에서 연락확인
p9,도서관,수업,1557233174136 ,1557233846382 ,672,5,5,5,시계
p26,동아리방,밴드합주,1557232329540 ,1557234047387 ,1717,4,4,4,연락
p28,문화관,공부,1557233099637 ,1557234051563 ,951,4,4,4,
p10,기타,기타,1557233904391 ,1557234072030 ,168,4,5,1,일하고 있엇는데 알아서 켜졌다 아마 연락이 온 것 아닐까 싶다
p23,강의실,수업,1557231987216 ,1557234120257 ,2133,3,3,3,전화
p11,집,과제,1557234080117 ,1557234127352 ,116,3,3,3,다른노래틀기위해
p25,기숙사,아무것도 안함,1557234065859 ,1557234176178 ,110,3,3,1,메세지 확인
p1,후문,기타,1557233569076 ,1557234398155 ,829,4,4,2,시계
p30,동아리,동아리 활동,1557234411183 ,1557234427310 ,410,5,4,3,쉬는시간이다
p6,기숙사,휴식,1557234404722 ,1557234432419 ,99,3,4,3,휴식 중 카톡 확인
p13,강의실,공부,1557223256524 ,1557234535383 ,11278,5,5,5,메시지확인
p9,도서관,수업,1557234060702 ,1557234551876 ,491,4,5,5,공부하다 좀만 쉬려고
p3,강의실,여가활동,1557234621772 ,1557234797472 ,175,2,3,4,
p2,집,휴식,1557234520584 ,1557234945831 ,424,5,5,1,휴식
p10,기타,기타,1557234763060 ,1557234949765 ,187,5,5,1,일하다가 시간 확인을 위해
p15,기숙사,수면,1557234992918 ,1557235307995 ,314,3,3,3,자다가 카톡보내기위해서
p3,정석,여가활동,1557235012241 ,1557235491652 ,479,5,5,2,
p23,강의실,수업,1557235004461 ,1557235495958 ,491,3,3,4,잘못누름
p24,집,세안 및 샤워,1557235250100 ,1557235540759 ,291,4,4,2,
p6,기숙사,샤워,1557234750138 ,1557235687994 ,938,4,3,3,샤워 후 카톡 확인
p10,기타,기타,1557235185598 ,1557235779466 ,593,5,5,1,일하는 중 습관적으로
p1,후문,기타,1557235571049 ,1557235835913 ,265,3,3,3,송금
p31,피시방,게임,1557235881572 ,1557235906691 ,575,4,4,4,
p14,연구실,실험,1557235092498 ,1557235932596 ,839,5,5,3,통호ㅓ
p26,술집,식사,1557235560083 ,1557235995336 ,435,3,3,3,여자친구
p11,집,과제,1557235630206 ,1557235997409 ,367,2,5,4,나가려고
p23,강의실,수업,1557235689074 ,1557235999517 ,310,3,3,3,충전
p5,술집,음주,1557235810880 ,1557236003882 ,192,3,3,1,술먹는중
p7,집,구경,1557236085913 ,1557236147195 ,93,2,2,2,
p20,기숙사,전화,1557236182535 ,1557236224241 ,512,5,5,5,전화를 끊고 기숙사로 들어가기 위해
p17,집,식사,1557234007707 ,1557236284130 ,2275,4,3,4,카톡 확인
p13,당구장,여가,1557236159300 ,1557236318026 ,159,4,4,1,메셎ㅣ확인
p22,집,기타,1557229814456 ,1557236508502 ,6693,2,2,1,카톡
p10,기타,기타,1557236323652 ,1557236859305 ,535,5,5,1,일하는 중 쉴 때
p16,연구실,실험,1557236951096 ,1557237003765 ,53,5,5,5,시간 확인
p18,자취방,휴식,1557237000502 ,1557237054325 ,53,3,3,3,
p13,당구장,여가,1557237099422 ,1557237131303 ,32,5,5,1,메시지
p5,술집,음주,1557237206079 ,1557237235089 ,29,3,3,1,무대포에서 술마시는중
p27,알바,일,1557237138328 ,1557237248920 ,110,3,3,1,휴식
p3,강의실,여가활동,1557237176065 ,1557237311947 ,136,5,5,1,
p21,연구실,연구,1557237312626 ,1557237352811 ,0,4,4,4,연구토의중에 카톡을 하기 위해
p2,집,휴식,1557237776363 ,1557237810074 ,34,4,4,2,휴식
p29,야외,공부,1557236328430 ,1557237853998 ,1526,4,4,4,sns
p27,알바,일,1557237854810 ,1557237918664 ,63,3,3,2,휴식
p14,연구실,통화,1557237654485 ,1557237918268 ,263,4,2,1,시간확인
p1,후문,기타,1557237878364 ,1557237995975 ,117,3,3,3,
p31,피시방,게임,1557237538047 ,1557238260537 ,723,4,4,4,
p28,문화관,공부,1557238056654 ,1557238316362 ,259,4,5,4,
p1,후문,기타,1557238296466 ,1557238495232 ,198,3,3,3,
p10,기타,기타,1557237300574 ,1557238526978 ,1226,5,5,1,일 끝난 후 휴식
p20,기숙사,식사,1557238611307 ,1557238628282 ,316,5,5,2,가족에게 카톡 보내기 위해
p18,자취방,휴식,1557237545501 ,1557238822599 ,1276,3,3,3,
p13,식당,식사,1557238875357 ,1557238975248 ,100,4,4,1,메세지
p29,야외,사교활동,1557238200419 ,1557239153622 ,953,4,4,4,sns
p3,정석,여가활동,1557239074064 ,1557239256049 ,181,3,3,3,
p30,기숙사,컴퓨터,1557238907067 ,1557239337128 ,430,4,3,1,휴대폰 확인 하려고
p20,기숙사,식사,1557238827054 ,1557239468863 ,642,5,5,3,야식 먹는 도중 가족에게 연락하기 위해
p26,술집,식사,1557238578226 ,1557239743469 ,1165,4,4,4,연락
p10,집,기타,1557239351924 ,1557239746850 ,395,5,5,1,집에 도착해 정리하며 휴대폰 연락 확인
p15,기숙사,놀기,1557239827716 ,1557240060934 ,233,3,2,3,놀던 중에 카톡이 왔다
p5,술집,음주,1557240038137 ,1557240062132 ,24,3,3,1,무대포에서 술마시느라
p29,도서관,공부,1557240147000 ,1557240197837 ,51,4,4,4,sns
p5,술집,음주,1557240285864 ,1557240331135 ,45,3,3,1,술먹는중에 폰확인
p18,친구집,휴식,1557240658511 ,1557241096922 ,438,3,2,2,
p9,집,수다,1557240480917 ,1557241351778 ,871,3,4,4,업무
p15,기숙사,놀기,1557240965651 ,1557241538716 ,572,3,3,3,놀던 중에 시간확인하려고
p14,연구실,논문 읽기,1557240421986 ,1557241583121 ,1161,5,2,2,카톡
p28,문화관,공부,1557241005664 ,1557241629904 ,624,4,4,1,
p1,후문,기타,1557239388036 ,1557242231125 ,2843,3,3,3,
p5,술집,음주,1557242088939 ,1557242319965 ,231,3,3,1,
p10,집,기타,1557241105403 ,1557242557666 ,1453,5,5,1,자기 전 확인
p1,후문,기타,1557242724288 ,1557242775884 ,51,3,3,3,
p25,노래방,아무것도 안함,1557242899477 ,1557242937820 ,38,1,1,3,
p23,강의실,수업,1557242962219 ,1557242992391 ,5675,3,4,4,공부 끝
p2,집,휴식,1557243160577 ,1557243324590 ,163,3,3,3,
p5,술집,음주,1557243335889 ,1557243579955 ,243,3,3,1,술나시는중
p15,기숙사,글쓰기,1557243657714 ,1557243734184 ,76,3,4,4,시간확인
p25,노래방,여가활동,1557243840266 ,1557243868438 ,178,4,3,2,메신저 확인
